0x14D3, 3537, 2:277:398, 614, 744.093, 745, 85, 11135, 16662, 16661, 7851, 72, -87.620, -91.534, 0x3DC
0x15B2, 5747, 3:994:892, 1030, 742.250, 746, 5189, 1568, 1914, 12396, 4660, 60, -94.862, -106.194, 0x33C
0x1639, 6723, 2:436:463, 902, 746.078, 747, 3056, 5874, 6390, 6389, 2029, 40, -96.403, -101.433, 0x22A
0x14D3, 3382, 2:448:590, 601, 744.218, 745, 35, 13176, 16893, 16892, 9140, 76, -86.467, -90.300, 0x400
0x15B2, 5733, 4:166:083, 1030, 743.234, 747, 5695, 1547, 2038, 12427, 4610, 76, -94.815, -106.911, 0x402
0x1639, 6704, 2:607:655, 1030, 748.171, 750, 4123, 7564, 7089, 7563, 2824, 52, -96.687, -101.953, 0x2D6
0x14D3, 3485, 2:619:782, 688, 744.656, 746, 7067, 19436, 14692, 19435, 11638, 100, -86.342, -90.594, 0x536
0x15B2, 5761, 4:337:275, 1031, 744.281, 748, 5508, 1912, 1999, 12513, 4749, 56, -94.935, -106.791, 0x304
0x1639, 6760, 2:778:847, 998, 750.031, 751, 2998, 5922, 6592, 6591, 2434, 48, -96.315, -102.698, 0x295
0x14D3, 3528, 2:790:973, 630, 745.015, 746, 85, 9469, 18207, 18206, 9952, 92, -86.427, -91.517, 0x4C6
0x15B2, 5700, 4:508:466, 1031, 745.250, 749, 6278, 1641, 1930, 11522, 4604, 68, -94.801, -105.606, 0x3A2
0x1639, 6770, 2:950:039, 1030, 743.859, 745, 6037, 7580, 4923, 7579, 2819, 52, -96.679, -101.727, 0x2C8
0x14D3, 3514, 2:962:165, 690, 745.078, 749, 44, 12869, 17862, 18057, 9633, 88, -87.495, -91.337, 0x4A8
0x15B2, 5742, 4:679:657, 1031, 746.328, 750, 5689, 1865, 1900, 12275, 4801, 56, -94.983, -106.955, 0x307
0x1639, 6751, 3:121:230, 1030, 745.921, 747, 6067, 7646, 4870, 7645, 2738, 48, -96.552, -101.758, 0x2A2
0x14D3, 3368, 3:133:357, 678, 745.328, 747, 82, 16716, 16290, 16715, 9625, 80, -87.644, -91.997, 0x444
0x15B2, 5738, 4:850:848, 1032, 747.312, 751, 5037, 1728, 1870, 11643, 4603, 68, -94.791, -106.018, 0x39D
0x1639, 6770, 3:292:422, 1030, 747.640, 749, 5950, 7812, 5531, 7811, 2746, 56, -96.565, -100.042, 0x302
